iter	Passed	Remaining
400	11457	17114
401	11483	17082
402	11510	17051
403	11537	17020
404	11564	16989
405	11590	16958
406	11617	16927
407	11644	16896
408	11671	16865
409	11698	16834
410	11725	16803
411	11752	16773
412	11780	16743
413	11807	16712
414	11833	16681
415	11861	16652
416	11889	16621
417	11917	16592
418	11943	16561
419	11970	16530
420	11997	16499
421	12024	16469
422	12051	16439
423	12080	16411
424	12107	16381
425	12134	16349
426	12161	16319
427	12188	16289
428	12216	16260
429	12243	16229
430	12270	16199
431	12297	16169
432	12324	16138
433	12351	16108
434	12378	16077
435	12405	16048
436	12433	16018
437	12460	15988
438	12486	15956
439	12513	15925
440	12540	15896
441	12567	15865
442	12594	15835
443	12621	15805
444	12649	15775
445	12676	15745
446	12703	15715
447	12730	15685
448	12757	15655
449	12784	15625
450	12811	15595
451	12839	15565
452	12866	15535
453	12892	15505
454	12919	15474
455	12946	15444
456	12974	15415
457	13001	15386
458	13029	15357
459	13057	15328
460	13084	15298
461	13111	15268
462	13139	15239
463	13166	15209
464	13193	15179
465	13221	15150
466	13248	15121
467	13276	15091
468	13302	15061
469	13329	15031
470	13356	15001
471	13383	14971
472	13410	14941
473	13436	14911
474	13463	14880
475	13490	14850
476	13518	14822
477	13545	14792
478	13573	14764
479	13600	14733
480	13628	14705
481	13656	14676
482	13683	14646
483	13709	14616
484	13735	14585
485	13761	14554
486	13788	14524
487	13815	14494
488	13840	14463
489	13867	14433
490	13893	14403
491	13921	14374
492	13948	14344
493	13975	14315
494	14003	14285
495	14030	14256
496	14056	14226
497	14087	14200
498	14114	14170
499	14143	14143
500	14170	14114
501	14198	14085
502	14224	14054
503	14251	14025
504	14277	13994
505	14306	13967
506	14333	13937
507	14359	13907
508	14386	13878
509	14414	13848
510	14441	13819
511	14468	13790
512	14495	13761
513	14522	13731
514	14549	13701
515	14576	13672
516	14603	13642
517	14629	13613
518	14656	13583
519	14684	13554
520	14711	13525
521	14738	13496
522	14765	13467
523	14792	13437
524	14819	13407
525	14847	13380
526	14884	13359
527	14916	13334
528	14943	13304
529	14970	13275
530	14998	13247
531	15031	13223
