iter	MAE
128	1.58768232
129	1.586522664
130	1.585945664
131	1.585228004
132	1.584690207
133	1.583871575
134	1.583226693
135	1.58190972
136	1.580717422
137	1.579342329
138	1.578690377
139	1.577453197
140	1.576462319
141	1.575144493
142	1.574280356
143	1.57357123
144	1.572509472
145	1.571721867
146	1.570151495
147	1.567711118
148	1.566811932
149	1.566401283
150	1.565072776
151	1.564473212
152	1.563657
153	1.563380756
154	1.563191835
155	1.562554727
156	1.561088035
157	1.560699469
158	1.560241863
159	1.55973144
160	1.558441687
161	1.557639382
162	1.557133034
163	1.555977612
164	1.555339083
165	1.554899011
166	1.553856803
167	1.552733867
168	1.551972159
169	1.550629204
170	1.548957267
171	1.548758536
172	1.546560197
173	1.544871339
174	1.544439707
175	1.544064448
176	1.542844585
177	1.54200671
178	1.54075175
179	1.539918379
180	1.539551909
181	1.537665579
182	1.537191763
183	1.535766632
184	1.53532809
185	1.534923977
186	1.533713087
187	1.532237928
188	1.531510012
189	1.5308983
190	1.530558183
191	1.529940405
192	1.528798291
193	1.528398162
194	1.527849026
195	1.526960329
196	1.52618578
197	1.52528926
198	1.524322823
199	1.523541983
200	1.523204305
201	1.522453384
202	1.522155074
203	1.521796253
204	1.521728999
205	1.521025631
206	1.520507909
207	1.520386646
208	1.51985047
209	1.519645812
210	1.519074737
211	1.518800152
212	1.518352293
213	1.517446631
214	1.517410251
215	1.516994227
216	1.516753838
217	1.515892878
218	1.515098269
219	1.513727901
220	1.513199923
221	1.512346082
222	1.511115033
223	1.510415174
224	1.509640221
225	1.508282705
226	1.507867354
227	1.507726109
228	1.506780573
229	1.506442118
230	1.504886348
231	1.504036364
232	1.503234934
233	1.502656826
234	1.501729234
235	1.501628655
236	1.501110693
237	1.500135632
238	1.499554741
239	1.499125762
240	1.498739171
241	1.497914966
242	1.497315568
243	1.496748427
244	1.495011972
245	1.49454259
246	1.493875132
247	1.492745272
248	1.492221324
249	1.491220442
250	1.490423529
251	1.490133482
252	1.488855887
253	1.487952182
254	1.487127526
255	1.486683002
256	1.486145499
257	1.48568762
258	1.485232996
259	1.484697898
260	1.484148351
261	1.483322767
262	1.483004089
263	1.48273319
264	1.482183087
265	1.481496576
266	1.480467864
267	1.479892038
268	1.479145801
269	1.478699324
270	1.478468857
271	1.478076073
272	1.477438902
273	1.476474222
274	1.476362754
275	1.475433544
276	1.47485625
277	1.474346396
278	1.474122987
279	1.473770903
280	1.473240438
281	1.472198543
282	1.47180497
283	1.471416513
284	1.470946737
285	1.470563263
286	1.469979062
287	1.469212076
288	1.468742224
289	1.468416251
290	1.467760843
291	1.467216662
292	1.466814945
293	1.46520546
294	1.464279347
295	1.463860602
296	1.463195653
297	1.462364139
298	1.461841138
299	1.461545023
300	1.460368448
301	1.459979205
302	1.459440368
303	1.459110137
304	1.458785897
305	1.457867792
306	1.457332985
307	1.456577176
308	1.456206805
309	1.455669401
310	1.455178125
311	1.454518626
312	1.453824038
313	1.453175189
314	1.452040086
315	1.451627003
316	1.451185032
317	1.450730117
318	1.450369055
319	1.44971494
320	1.448067452
321	1.44713077
322	1.446616091
323	1.445891677
324	1.445146879
325	1.444964844
326	1.444694579
327	1.44448234
328	1.44420224
329	1.443860813
330	1.442510131
331	1.441513773
332	1.441195633
333	1.440714218
334	1.440117082
335	1.439805592
336	1.439349438
337	1.438685029
338	1.437316966
339	1.436888965
340	1.436542142
341	1.435974276
342	1.435309122
343	1.434195105
344	1.433902096
345	1.433116378
346	1.432763117
347	1.432028862
348	1.431430327
349	1.430835735
350	1.430268928
351	1.429555813
352	1.429092766
353	1.428810249
354	1.428525627
355	1.42798306
356	1.427115766
357	1.42654149
358	1.425961664
359	1.425356156
360	1.425132343
361	1.424427184
362	1.423924351
363	1.42342265
364	1.422686104
365	1.422518149
366	1.421634864
367	1.421340681
368	1.420870412
369	1.420089748
370	1.419111152
371	1.418633914
372	1.417634559
373	1.416697121
374	1.416174849
375	1.415604125
376	1.415302161
377	1.414839484
378	1.414704963
379	1.413675631
380	1.413002532
381	1.412589726
382	1.411784602
383	1.411421167
384	1.410312238
385	1.409996665
386	1.409490871
387	1.409195115
388	1.408365164
389	1.408202997
390	1.406973936
391	1.40601265
392	1.405728212
393	1.405044612
394	1.404674174
395	1.403526444
396	1.403414141
397	1.402325036
398	1.402015517
399	1.401578332
400	1.400840302
401	1.400031379
402	1.399712079
403	1.399447813
404	1.39929388
405	1.398892353
406	1.398591715
407	1.397595461
408	1.396632177
409	1.396429142
410	1.396094122
411	1.395803571
412	1.395445495
413	1.394489735
414	1.394042224
415	1.393742108
416	1.393172117
417	1.392058246
418	1.39152409
419	1.391156378
420	1.390871332
421	1.390519925
422	1.389981875
423	1.389574973
424	1.389182997
425	1.388913086
426	1.388521664
427	1.38738733
428	1.387169142
429	1.386105317
430	1.385865331
431	1.385348527
432	1.384848181
433	1.384254529
434	1.383707603
435	1.382679744
436	1.382142884
437	1.381830529
438	1.381550385
439	1.381224115
440	1.381033519
441	1.380323136
442	1.379883311
443	1.379740691
444	1.379225983
445	1.378989139
446	1.378553264
447	1.37788244
448	1.377441583
449	1.377244552
450	1.376864299
451	1.37645396
452	1.376381826
453	1.375819234
454	1.375737443
455	1.375551702
456	1.375333484
457	1.374916738
458	1.374453042
459	1.374168488
460	1.373872466
461	1.373605908
462	1.373334592
463	1.372996037
464	1.372895441
465	1.372467137
466	1.3716496
467	1.370887815
468	1.370771341
469	1.370431075
470	1.370059238
471	1.369876962
472	1.36948918
473	1.369251722
474	1.369175828
475	1.368993881
476	1.368853543
477	1.368612017
478	1.368111999
479	1.367642927
480	1.367208816
481	1.366637821
482	1.366503269
483	1.366366623
484	1.366208175
485	1.366090747
486	1.365595725
487	1.365242661
488	1.364940348
489	1.364441334
490	1.364370814
491	1.36422255
492	1.363970219
493	1.36358726
494	1.362594663
495	1.362402564
496	1.361778653
497	1.361568308
498	1.361037683
499	1.360691445
500	1.360464996
501	1.360268572
502	1.359984141
503	1.359827602
504	1.359498919
505	1.358968022
506	1.358653663
507	1.358259695
508	1.358025863
509	1.357458393
510	1.357225727
511	1.356987064
512	1.356768777
513	1.356389797
514	1.356319981
515	1.355806825
516	1.355568984
517	1.355415114
518	1.355185604
519	1.355006652
520	1.354823765
521	1.354506564
522	1.354007827
523	1.353594625
524	1.353364438
525	1.352957589
526	1.352760997
527	1.352062278
528	1.351910782
529	1.351364896
530	1.351297129
531	1.350987813
532	1.350757046
533	1.350539237
534	1.350232941
535	1.349915584
536	1.349718319
537	1.349364833
538	1.34915493
539	1.348821789
540	1.348414301
541	1.347901424
542	1.347538561
543	1.347161502
544	1.346601496
545	1.34578884
546	1.345695213
547	1.345526196
548	1.345173309
549	1.344932771
550	1.344381488
551	1.344138812
552	1.343688815
553	1.343493414
554	1.343327149
555	1.343134196
556	1.342924384
557	1.342757854
558	1.342271297
559	1.342201676
560	1.341966509
561	1.341495255
562	1.341198928
563	1.340919696
564	1.340706401
565	1.340596733
566	1.340288772
567	1.34016303
568	1.339893539
569	1.339681842
570	1.339332645
571	1.339153189
572	1.338933496
573	1.338598644
574	1.338504935
575	1.338140027
576	1.337933196
577	1.337753068
578	1.33742533
579	1.337268517
580	1.33712775
581	1.336804434
582	1.336461799
583	1.335481449
584	1.335275629
585	1.335184184
586	1.335031811
587	1.334663276
588	1.334040263
589	1.333754701
590	1.333580321
591	1.333532176
592	1.333333399
593	1.333280028
594	1.333147611
595	1.332827125
596	1.332704614
597	1.332382633
598	1.332181053
599	1.33191168
600	1.331427989
601	1.331097844
602	1.331007155
603	1.330200633
604	1.329825217
605	1.329561307
606	1.329186538
607	1.329001544
608	1.32890471
609	1.328522081
610	1.328230858
611	1.327385326
612	1.32692493
613	1.326656386
614	1.326610499
615	1.326289708
616	1.326021723
617	1.32585938
618	1.325670175
619	1.32555009
620	1.32533391
621	1.325017196
622	1.324912537
623	1.324815847
624	1.324773036
625	1.324663803
626	1.324542959
627	1.324308227
628	1.324201125
629	1.323764053
630	1.32365248
631	1.323348715
632	1.322883829
633	1.322788968
634	1.322554564
635	1.322026905
636	1.321947414
637	1.321612538
638	1.321267529
639	1.32110778
640	1.32094477
641	1.320200755
642	1.320120496
643	1.319479141
644	1.319228597
645	1.318935281
646	1.318635639
647	1.318577982
648	1.318372684
649	1.318214305
650	1.318145863
651	1.317976964
652	1.317679973
653	1.317404843
654	1.31706501
655	1.31689598
656	1.316769671
657	1.316636716
658	1.316510834
659	1.316427113
660	1.316191194
661	1.31593013
662	1.315434531
663	1.315174204
664	1.314555729
665	1.31434359
666	1.313570188
667	1.31347232
668	1.313334802
669	1.313067506
670	1.312980432
671	1.312823147
672	1.312105806
673	1.31179797
674	1.311684697
675	1.311557366
676	1.310841226
677	1.310672089
678	1.310413358
679	1.310169376
680	1.310033451
681	1.309837422
682	1.309559496
683	1.309480502
684	1.3093491
685	1.308720631
686	1.308594214
687	1.308361741
688	1.308170426
689	1.307828089
690	1.30747406
691	1.307273776
692	1.307051909
693	1.306949213
694	1.306766068
695	1.306408973
696	1.30629663
697	1.305745058
698	1.30532624
699	1.304667153
700	1.304442665
701	1.304212387
702	1.304080546
703	1.303555323
704	1.302903843
705	1.302534718
706	1.302348937
707	1.302242489
708	1.302009641
709	1.301771794
710	1.301701103
711	1.301490404
712	1.301387693
713	1.300877907
714	1.300748954
715	1.300479166
716	1.300383355
717	1.300199858
718	1.29996989
719	1.299877358
720	1.299727474
721	1.299671043
722	1.299364193
723	1.299168827
724	1.299006992
725	1.298682512
726	1.298098982
727	1.29790899
728	1.297722662
729	1.297641402
730	1.297553426
731	1.297448303
732	1.297235531
733	1.297033382
734	1.296863169
735	1.296618819
736	1.2964556
737	1.296302328
738	1.296253227
739	1.295842243
740	1.295415999
741	1.295037084
742	1.29459864
743	1.294468035
744	1.294216761
745	1.294020791
746	1.29378293
747	1.293438515
748	1.293036212
749	1.292682121
750	1.292596506
751	1.292521513
752	1.292331347
753	1.29203496
754	1.291869994
755	1.291747757
756	1.291666518
757	1.291510022
758	1.291456787
759	1.29137067
760	1.291089839
761	1.291025484
762	1.290945974
763	1.290853566
764	1.290629345
765	1.290535277
766	1.290333895
767	1.290135746
768	1.289818179
769	1.289347686
770	1.289210096
771	1.288886657
772	1.288766916
773	1.288645194
774	1.288543655
775	1.288399964
776	1.287986274
777	1.287914453
778	1.287811016
779	1.287278859
780	1.286996357
781	1.286894689
782	1.286594955
783	1.286460266
784	1.286202809
785	1.286051469
786	1.285838022
787	1.285738437
788	1.285670596
789	1.285200794
790	1.285162523
791	1.28504911
792	1.284733918
793	1.284613456
794	1.284359297
795	1.28404791
796	1.283693178
797	1.283576795
798	1.283465213
799	1.283142054
800	1.282949685
801	1.282885012
802	1.282629112
803	1.282455624
804	1.282284959
805	1.282198305
806	1.28213607
807	1.28192117
808	1.281454021
809	1.281373353
810	1.281002511
811	1.28083669
812	1.280680004
813	1.280532858
814	1.280414127
815	1.280312213
816	1.279989225
817	1.279824498
818	1.279682382
819	1.279476907
820	1.279405849
821	1.279176055
822	1.279037268
823	1.279010848
824	1.278709663
825	1.278492919
826	1.278386232
827	1.278247544
828	1.278138461
829	1.27806222
830	1.277997357
831	1.277838545
832	1.277728518
833	1.277540743
834	1.277328757
835	1.277216147
836	1.277132142
837	1.276970426
838	1.276800132
839	1.276694442
840	1.276554354
841	1.276246219
842	1.276029682
843	1.27588554
844	1.275655657
845	1.27542304
846	1.275364203
847	1.275276758
848	1.275233797
849	1.275010964
850	1.274817885
851	1.274639055
852	1.27459984
853	1.274397224
854	1.274321654
855	1.274027469
856	1.273691175
857	1.273512688
858	1.273174751
859	1.273120961
860	1.273008318
861	1.272337825
862	1.272168304
863	1.272022225
864	1.271757366
865	1.271620633
866	1.271365961
867	1.271324942
868	1.271238316
869	1.271196945
870	1.271114444
871	1.270937007
872	1.270795883
873	1.270663033
874	1.270582425
875	1.270387201
876	1.27034786
877	1.270203598
878	1.27016635
879	1.269820219
880	1.269789979
881	1.269327038
882	1.269226529
883	1.269148985
884	1.26903623
885	1.268774983
886	1.268488195
887	1.268268027
888	1.268085111
889	1.267949368
890	1.267608913
891	1.267516442
892	1.267446327
893	1.267324026
894	1.267170415
895	1.266694421
896	1.266500255
897	1.26612322
898	1.265993808
899	1.265913613
900	1.265850888
901	1.265719532
902	1.265556556
903	1.265486048
904	1.265367811
905	1.265215247
906	1.264882111
907	1.264685676
908	1.264073071
909	1.263955829
910	1.2638168
911	1.263581713
912	1.263546919
913	1.263510275
914	1.263490971
915	1.263266865
916	1.263140788
917	1.263038217
918	1.262587929
919	1.262352426
920	1.262197772
921	1.26213082
922	1.261587419
923	1.261478325
924	1.261163543
925	1.260680121
926	1.260346278
927	1.260175986
928	1.259775936
929	1.259624606
930	1.259495561
931	1.259429206
932	1.25920826
933	1.259060619
934	1.258863081
935	1.258698534
936	1.258590816
937	1.258556585
938	1.258452131
939	1.258328463
940	1.258289182
941	1.258198486
942	1.258138538
943	1.257930174
944	1.257760087
945	1.257648917
946	1.257424679
947	1.257305912
948	1.25706977
949	1.256988704
950	1.256946609
951	1.256896113
952	1.256767623
953	1.256738912
954	1.256641618
955	1.256465009
956	1.256283483
957	1.256142186
958	1.256074771
959	1.255960517
960	1.2557865
961	1.255608698
962	1.255546706
963	1.255489891
964	1.255412853
965	1.255190483
966	1.255057777
967	1.254954645
968	1.25461871
969	1.254513977
970	1.254128803
971	1.253900867
972	1.25382806
973	1.253734831
974	1.253572738
975	1.253512971
976	1.253149105
977	1.252954864
978	1.252711007
979	1.252504573
980	1.252416924
981	1.252111346
982	1.252065298
983	1.251871313
984	1.251805439
985	1.25174863
986	1.251491422
987	1.251366336
988	1.251104403
989	1.251018629
990	1.250955459
991	1.250780509
992	1.250614854
993	1.250588993
994	1.250502306
995	1.250412097
996	1.250266901
997	1.250171572
998	1.250052068
999	1.249966441
