iter	MAE
0	2.663906012
1	2.622698358
2	2.589357892
3	2.554183254
4	2.521589937
5	2.486285768
6	2.452383588
7	2.420094501
8	2.391823334
9	2.363533123
10	2.33553253
11	2.309116729
12	2.282606526
13	2.257577913
14	2.23234466
15	2.209090137
16	2.186491593
17	2.166549426
18	2.146291369
19	2.129626413
20	2.112668978
21	2.094130573
22	2.077010534
23	2.059801418
24	2.045727507
25	2.03069551
26	2.017033386
27	2.003591599
28	1.989226412
29	1.975434377
30	1.962584945
31	1.950512402
32	1.93936924
33	1.927316038
34	1.915174076
35	1.904285254
36	1.893709961
37	1.883108113
38	1.873633499
39	1.864954648
40	1.854928816
41	1.847207878
42	1.838071552
43	1.830697173
44	1.823303906
45	1.815340071
46	1.807746344
47	1.800973013
48	1.793137036
49	1.786521256
50	1.779362521
51	1.772443639
52	1.766629605
53	1.76097794
54	1.75610245
55	1.749953165
56	1.744493666
57	1.738989851
58	1.734110041
59	1.729886156
60	1.725407055
61	1.72169822
62	1.716932409
63	1.712234685
64	1.708710037
65	1.705664531
66	1.701119086
67	1.696441661
68	1.693396121
69	1.689259973
70	1.685725269
71	1.683142736
72	1.679637566
73	1.675931331
74	1.672932254
75	1.669428544
76	1.666650217
77	1.664542994
78	1.661529254
79	1.65965986
80	1.657618867
81	1.655308555
82	1.653160358
83	1.650726209
84	1.648640945
85	1.647310925
86	1.645007059
87	1.643304782
88	1.639994084
89	1.638035721
90	1.636310482
91	1.634303442
92	1.632989979
93	1.63127344
94	1.629749816
95	1.628129417
96	1.626840175
97	1.625147408
98	1.624333677
99	1.623311266
100	1.621476489
101	1.62004804
102	1.618937003
103	1.617663132
104	1.616542249
105	1.614355788
106	1.613320781
107	1.612347432
108	1.610865729
109	1.609849336
110	1.60714802
111	1.605418698
112	1.603769531
113	1.602857874
114	1.601488191
115	1.600157624
116	1.598579975
117	1.597810096
118	1.596860154
119	1.596514088
120	1.595026354
121	1.594247693
122	1.593500748
123	1.592684283
124	1.591878204
125	1.590983559
126	1.590176053
127	1.58887499
