rating,production_year,director,age_rating,duration,budget,target_log,main_genre,month,director_film_count,actors_fame
6.7,2011,Other,undefined,90,3113265.2654867256,11.924279863778626,документальный,апрель,2,50
6.5,2015,Other,undefined,110,15338528.770776752,15.182756392382647,драма,январь,1,17
7.6,2005,Энг Ли,18+,134,14000000.0,18.997646624766798,вестерн,сентябрь,6,49
5.6,1993,Other,0+,92,9000000.0,16.123910511837835,боевик,апрель,2,55
7.1,1971,Other,0+,117,20000000.0,16.698699581676053,мультфильм,октябрь,1,17
8.0,1930,Other,12+,136,1200000.0,15.000300542873436,драма,апрель,4,3
6.0,2018,Other,18+,92,1000000.0,16.589659749538228,ужасы,март,1,3
6.7,2021,Стивен Спилберг,12+,156,100000000.0,18.146456651932724,мюзикл,ноябрь,33,11
7.5,2000,Other,18+,98,23000000.0,18.54183847004123,ужасы,март,4,19
7.7,2005,Other,18+,122,15000000.0,16.054093412662063,боевик,январь,4,41
7.6,2015,Майкл Мур,18+,120,3113265.2654867256,15.355546086501231,документальный,сентябрь,8,7
7.066666666666667,2016,Эррол Моррис,undefined,76,3113265.2654867256,11.737883369350026,документальный,сентябрь,9,3
6.6,2010,Джеймс Ганн,18+,96,2500000.0,12.945721659741539,боевик,сентябрь,6,52
7.5,2018,Шон Андерс,18+,118,48000000.0,18.607626600505334,драма,ноябрь,7,70
7.066666666666667,2005,Other,16+,75,3113265.2654867256,12.299890803732724,документальный,сентябрь,1,3
6.8,2017,Ридли Скотт,18+,132,50000000.0,17.85849698159122,биография,декабрь,20,81
6.6960409556314,2017,Other,undefined,107,1200000.0,11.417273226670567,драма,август,1,12
5.2,2017,Other,18+,90,2300000.0,9.878836189094999,ужасы,октябрь,2,33
6.0,2022,Майкл Полиш,18+,107,21480921.30952381,9.481511892300974,вестерн,июнь,9,7
4.2,2005,Роберт Родригес,6+,93,50000000.0,18.055771505356336,фантастика,июнь,14,9
4.4,2023,Other,undefined,104,39390215.67272727,10.177514314164908,боевик,февраль,1,30
6.9,2015,Other,18+,133,1800000.0,12.854690446870828,ужасы,октябрь,2,56
6.8,2004,Джон Мур,12+,113,45000000.0,17.358967282638076,боевик,декабрь,5,67
5.9,2011,Мартин Кэмпбелл,12+,114,200000000.0,19.20846138448432,фантастика,июнь,9,53
5.8,1994,Other,18+,93,15338528.770776752,13.260302790416127,драма,сентябрь,1,4
6.8,1998,Джон Карпентер,18+,108,20000000.0,16.826563468902425,ужасы,апрель,16,28
6.2,2021,Other,18+,90,15338528.770776752,15.24845541484252,драма,март,1,4
